id,tweet_text,gold,time_will_tell,distrust_experts,too_fast_early_dev,natural_traditional_is_better,liberty_freedom,hidden_motives,scapegoat,defend_the_weak,wicked_fairness,none,source
2074,It's important to protect the most vulnerable people in society.That's why we're helping councils that are looking after unaccompanied asylum-seeking children by significantly increasing their funding.Read more: #LocalGov,none,0,0,0,0,0,0,0,1,0,0,immigration
2075,"Earlier this year, Home Secretary @sajidjavid and French Interior Minister @CCastaner agreed a joint action plan to strengthen efforts against migrant activity in the #EnglishChannel. Find out more:",none,0,0,0,0,0,0,0,0,0,1,immigration
2076,Immigration Minister @CarolineNokes met business leaders and academics in Bristol today to discuss how a skills-based #immigration system will support the #SouthWest:,none,0,0,0,0,0,0,0,0,0,1,immigration
2077,Today we're launching the #IndicatorsOfIntegration report. We've been working with universities across the country to develop this important tool to help organisations provide the right support for #refugees and #migrants.,none,0,0,0,0,0,0,0,0,0,1,immigration
2078,"Seen something suspicious around an airfield? Don't ignore it, report it.Report online: or call the Police on 101 #ReportBorderCrime",none,0,0,0,0,0,0,0,0,0,1,immigration
2079,"Read the Home Secretary, @sajidjavid's response to the small boat incidents in the Channel today:",none,0,0,0,0,0,0,0,0,0,1,immigration
2080,"Immigration Minister @carolinenokes has said over 750,000 EU Settlement Scheme applications have been received as she visited staff in Liverpool helping #EUcitizens. #SettledStatus Read more:",none,0,0,0,0,0,0,0,0,0,1,immigration
2081,Immigration Minister @carolinenokes met @WillmottDixon construction workers in Liverpool to hear how the future #immigration system can work for them.Read more:,none,0,0,0,0,0,0,0,0,0,1,immigration
2082,The latest immigration stats show that the UK is attracting leading talent from across the world.Read more:,none,0,0,0,0,0,0,0,0,0,1,immigration
2083,Immigration Minister @carolinenokes visited the East European Resource Centre in London to meet with staff who are helping vulnerable #EUCitizens apply to the EU Settlement Scheme. @East_Europeans,none,0,0,0,0,0,0,0,1,0,0,immigration
2084,Today's immigration stats show that we are attracting leading talent from across the world,none,0,0,0,0,0,0,0,0,0,1,immigration
2085,"As part of a national conversation on the future skills-based immigration system, Immigration Minister @CarolineNokes visited @monzo in London to discuss the government's plans.",none,0,0,0,0,0,0,0,0,0,1,immigration
2086,"Seen something suspicious around an airfield? Don't ignore it, report it. Online: or call the Police on 101. Want to give info ANONYMOUSLY? Call 0800 555111 or fill in our quick & easy online form at @UKHomeOffice #reportbordercrime",none,0,0,0,0,0,0,0,0,0,1,immigration
2087,We've opened two new visa routes to attract #entrepreneurs to the UK. Find out more: #innovation #startup #business,none,0,0,0,0,0,0,0,0,0,1,immigration
2088,The #Windrush Compensation Scheme is open for applications: Minister @carolinenokes met High Commissioners of Commonwealth countries and representatives of the Overseas Territories to discuss the scheme.,none,0,0,0,0,0,0,0,0,0,1,immigration
2089,Today we've opened two new visa routes to attract #entrepreneurs to the UK. Find out more: #innovation #startup #business,none,0,0,0,0,0,0,0,0,0,1,immigration
2090,Detention is a vital part of our immigration system but it is only used in cases where it is absolutely necessary.Read more about the Home Office's approach to immigration detention:,none,0,0,0,0,0,0,0,0,0,1,immigration
2091,Home Secretary @sajidjavid and French Interior Minister @CCastaner recently agreed a new joint action plan to strengthen efforts against migrant activity in the English Channel. Find out more:,none,0,0,0,0,0,0,0,0,0,1,immigration
2092,"New #Immigration stats published yesterday. In 2018, 130 refugees were resettled via #CommunitySponsorship. 60 of these were welcomed in the last three months of the year.",none,0,0,0,0,0,0,0,0,0,1,immigration
2093,Today's Migration Statistics Quarterly Report from @ONS shows that the UK continues to be recognised as a great place to work and study. Read Immigration Minister @carolinenokes' statement on our blog:,none,0,0,0,0,0,0,0,0,0,1,immigration
2094,@itvnews Anyone crossing the Channel in a small boat is taking a huge risk with their life. We are working closely with the French authorities to tackle this dangerous form of illegal migration.,conclusion,0,0,0,0,0,0,0,1,0,0,immigration
2095,"Last year, Home Secretary @sajidjavid set out plans for a new skills-based immigration system that would mark the end of free movement. Find out more: #Brexit",none,0,0,0,0,1,0,0,0,0,0,immigration
2096,"Lots of discussion about the future #immigration system, today. Here's why we believe it will protect jobs, grow the economy and deliver on the referendum result:",none,0,0,0,0,1,0,0,0,0,0,immigration
2097,Home Secretary @sajidjavid and French Interior Minister @CCastaner have agreed a joint action plan to strengthen efforts against migrant activity in the English Channel. Find out more:,none,0,0,0,0,0,0,0,0,0,1,immigration
2098,I was pleased to have the opportunity to speak at the launch of the Refugee Employment Network today and look forward to working with them to help refugees find work and integrate into their communities. #RefugeesIntoWork,none,0,0,0,0,0,0,0,0,0,1,immigration
2099,Immigration Minister @carolinenokes and French Interior Minister @CCastaner have visited the Joint Co-ordination & Information Centre in Calais to see first-hand some of the work that is being done to tackle attempts to cross the #EnglishChannel illegally via small boats.,none,0,0,0,0,0,0,0,0,0,1,immigration
2100,With Immigration Minister @carolinenokes and Interior Minister @CCastaner in Calais this morning - great to be able to thank and law enforcement officers for their hard work in keeping our borders secure,premise,0,0,0,0,0,0,0,0,0,1,immigration
2101,Home Secretary @sajidjavid and French Interior Minister @CCastaner have agreed a new joint action plan to strengthen efforts against migrant activity in the English Channel. Find out more:,none,0,0,0,0,0,0,0,0,0,1,immigration
2102,Productive discussions around tackling migrant crossings in the Channel with my French counterpart @CCastaner today. Vital we continue our united response,none,0,0,0,0,0,0,0,0,0,1,immigration
2103,"In London with my UK counterpart @SajidJavid. Together, we will discuss our joint efforts to combat illegal migration at our common border, but also our essential bilateral cooperation as regards security and counterterrorism.",none,0,0,0,0,0,0,0,0,0,1,immigration
2104,"Thank you @CCastaner for coming to London. France and the UK have an unbreakable bond. I look forward to deepening our partnership further on illegal migration, serious crime and security",none,0,0,0,0,0,0,0,0,0,1,immigration
2105,"This is why UKIP is calling on this Conservative Government to set a cap and reduce net migration to below 10,000 per year.",none,0,0,0,0,0,0,0,0,0,1,immigration
